Keywords,Company Name,Video Name,Video link,Video id,,watches,Likes
Battery,,Tesla's NEW Cost-Efficient Batteries,https://www.youtube.com/watch?v=lA6FUfaOloo,lA6FUfaOloo,,,
Battery,,Electric Vehicles' Battery Problem,https://www.youtube.com/watch?v=9dnN82DsQ2k,9dnN82DsQ2k,,,
Battery,,This New Battery Tech Will Change Electric Cars,https://www.youtube.com/watch?v=zIeiRe7bIEU,zIeiRe7bIEU,,,
Battery,,The Future of EGO Power Plus - The Battery Engine!,https://www.youtube.com/watch?v=Xld58D3Y2io,Xld58D3Y2io,,,
Electric,,How an Electric Car Works? Its Parts & Functions [Explained],https://www.youtube.com/watch?v=tJfERzrG-D8,tJfERzrG-D8,,,
Electric,,10 Upcoming Hybrid-Electric Cars: the Last Resort for Fuel-Efficient ICE Models,https://www.youtube.com/watch?v=TVuctxeecxo,TVuctxeecxo,,,
Electric,,Ferrari Vs Electric Car - How Much More Efficient Is it REALLY?,https://www.youtube.com/watch?v=yMxmHrKrbtg,yMxmHrKrbtg,,,
Electric,,ICE vs EV Efficiency: How Much More Efficient is an Electric Vehicle than a Fossil Fuel Vehicle?,https://www.youtube.com/watch?v=0n882p3uq6w,0n882p3uq6w,,,
electric vehicle,,Are we ready for a future filled with electric vehicles? We put Singapore to the test,https://www.youtube.com/watch?v=iZD357lMmkE,iZD357lMmkE,,,
Fuel Cell,,Dear My Hero - Hyundai Motor Group Presents Hydrogen Garbage Truck,https://www.youtube.com/watch?v=8835ydOmbOg,8835ydOmbOg,,,
Fuel Cell,,"XCIENT Fuel Cell | ""Birdsville""",https://www.youtube.com/watch?v=CN5YToIQQD4,CN5YToIQQD4,,,
Fuel Cell,,is green hydrogen the answer to the climate crisis? | DW Documentary,https://www.youtube.com/watch?v=4sn0ecqZgog,4sn0ecqZgog,,,
Fuel Cell,,How Do Hydrogen Fuel Cells Work?,https://www.youtube.com/watch?v=R6AdX-bdDaw,R6AdX-bdDaw,,,
Fuel Cell,,The truth about hydrogen fuel cell technology,https://www.youtube.com/watch?v=DTPt32lZY30,DTPt32lZY30,,,
H2 ICE,,Toyota's ALL NEW Hydrogen Engine SHOCKS The Entire Car Industry!,https://www.youtube.com/watch?v=0_6N1hYZiAM,0_6N1hYZiAM,,,
H2 ICE,,Toyota's Developing A Hydrogen Combustion Engine!,https://www.youtube.com/watch?v=3IPR50-soNA,3IPR50-soNA,,,
H2 ICE,,The V8 Engine that Runs on HYDROGEN,https://www.youtube.com/watch?v=Ppuvvr6rcb0,Ppuvvr6rcb0,,,
Hydrogen,,The Unfortunate Truth About Toyota's Hydrogen V8 Engine,https://www.youtube.com/watch?v=vJjKwSF9gT8,vJjKwSF9gT8,,,
