keyword,affin_sentiments,nltk_sentiment,Real_Sentiment,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,pos,,,,affin-neg,affin-pos,nltk-neg,nltk-pos,real-neg,real-pos
electric,pos,pos,pos,,,battery-electric truck,16.95%,47.86%,18.66%,50.99%,15.53%,51.98%
electric,pos,pos,pos,,,electric,26.71%,42.96%,27.95%,48.79%,19.39%,53.91%
electric,pos,pos,pos,,,fuel cell,27.22%,43.19%,26.03%,52.87%,20.08%,54.27%
electric,pos,neg,neg,,,fuel cell truck,17.65%,39.22%,13.73%,45.10%,7.84%,62.75%
electric,neg,pos,neu,,,hydrogen,22.26%,42.86%,23.70%,49.29%,17.82%,49.38%
electric,neu,neu,neu,,,hydrogen truck,25.00%,38.16%,26.32%,50.00%,25.00%,43.42%
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,neg,pos,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neg,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neu,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,pos,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,pos,neg,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,neg,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neg,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,pos,neg,,,,,,,,,
electric,pos,pos,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,pos,neg,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,neu,neg,,,,,,,,,
electric,pos,neg,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neu,neu,neg,,,,,,,,,
electric,neu,neg,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,neg,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neg,neg,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,neg,neg,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,neu,pos,pos,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,neu,neu,neg,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,pos,pos,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neg,pos,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,pos,neu,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,pos,neg,,,,,,,,,
electric,neu,pos,neg,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,pos,neg,pos,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,pos,neu,neu,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neg,neg,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,pos,pos,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,pos,pos,neu,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,neu,neu,neg,,,,,,,,,
electric,pos,pos,neg,,,,,,,,,
electric,pos,pos,pos,,,,,,,,,
electric,neu,pos,neg,,,,,,,,,
electric,neu,pos,neu,,,,,,,,,
electric,neg,neg,neg,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,pos,neg,,,,,,,,,
electric,neu,neu,pos,,,,,,,,,
electric,neu,neu,neg,,,,,,,,,
electric,neg,neg,pos,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neu,neu,neu,,,,,,,,,
electric,neg,neg,neu,,,,,,,,,
electric,neg,neu,neu,,,,,,,,,
electric,pos,pos,neg,,,,,,,,,
